construction,crsdiscount,deductibleamountinbuildingcoverage,deductibleamountincontentscoverage,elevatedbuildingindicator,elevationdifference,numberoffloorsininsuredbuilding,primaryresidenceindicator,smallbusinessindicatorbuilding,buildingage,basementenclosurecrawlspacetype_B,basementenclosurecrawlspacetype_C,basementenclosurecrawlspacetype_D,condominiumindicator_U,floodzone_AE,floodzone_AO,floodzone_AOB,locationofcontents_B,locationofcontents_C,locationofcontents_D,locationofcontents_E,occupancytype_2,occupancytype_3,occupancytype_4,occupancytype_6,ratemethod_2,ratemethod_B,ratemethod_W,premium_scale,coverage_scale
0,3.0,6.0,4.0,0,1,1.0,1,0,38.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8609366207000937,5.406199423663312
0,5.0,2.0,2.0,0,7,1.0,1,0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3242824552976926,5.079181246047625
0,5.0,2.5,2.5,0,0,1.0,0,0,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.187520720836463,5.544068044350276
0,5.0,2.5,2.5,0,3,2.0,1,0,43.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2.550228353055094,5.482873583608754
0,5.0,2.5,2.5,0,3,1.0,1,0,61.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.423245873936808,5.195899652409234
0,5.0,6.0,6.0,1,3,1.0,1,0,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.432969290874406,5.431363764158987
0,5.0,2.5,2.5,0,2,1.0,1,0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.639486489268586,5.415807727635543
0,5.0,2.5,2.5,0,1,2.0,1,0,20.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7363965022766426,5.477121254719663
0,5.0,6.0,6.0,0,0,1.0,1,0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.125806458139527,5.544068044350276
0,3.0,2.5,2.5,0,1,1.0,0,0,19.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8129133566428557,5.167021795790257
0,3.0,3.0,3.0,0,1,1.0,1,0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.808210972924222,5.117271295655764
0,5.0,2.5,2.5,0,0,2.0,1,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.02201573981772,5.544068044350276
0,5.0,2.5,2.5,0,1,2.0,1,0,28.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7067177823367587,5.375663613960885
0,3.0,3.0,3.0,0,0,2.0,1,0,36.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0824263008607717,5.511883360978874
0,5.0,6.0,6.0,0,0,2.0,1,0,44.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.8976270912904414,5.148910993109356
0,5.0,4.0,4.0,1,0,2.0,1,0,71.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.8981764834976764,5.036229544086295
0,3.0,2.5,2.5,1,-4,2.0,1,0,39.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.751279103983342,5.544068044350276
0,5.0,2.5,2.5,0,2,2.0,1,0,13.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6263403673750423,5.544068044350276
0,5.0,4.0,4.0,0,2,2.0,1,0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.595496221825574,5.494154594018442
0,5.0,2.5,2.5,0,1,2.0,0,0,42.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3.041787318971752,5.710286647702891
0,5.0,2.5,2.5,0,2,2.0,1,0,30.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6020599913279625,5.488409688903198
0,5.0,20.0,20.0,1,-2,1.0,0,0,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2035767749779724,5.021189299069938
0,5.0,2.5,2.5,1,2,3.0,1,0,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.640481436970422,5.544068044350276
0,5.0,2.5,2.5,0,1,2.0,1,0,48.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.7701152947871015,5.544068044350276
0,5.0,2.5,2.5,0,1,1.0,1,0,57.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8369567370595505,5.3979400086720375
0,0.0,2.5,2.5,0,1,2.0,1,0,11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.895422546039408,5.544068044350276
0,5.0,2.5,2.5,0,1,2.0,1,0,36.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.739572344450092,5.484442207642407
0,5.0,10.0,8.0,0,0,2.0,0,0,45.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.845098040014257,5.096910013008056
0,5.0,2.5,2.5,1,1,3.0,1,0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7701152947871015,5.544068044350276
0,3.0,2.5,2.5,0,1,1.0,1,0,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.929418925714293,5.479143247978613
0,5.0,2.5,2.5,0,0,2.0,1,0,19.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.022840610876528,5.544068044350276
0,3.0,2.5,2.5,0,3,1.0,1,0,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5634810853944106,5.363611979892144
0,5.0,4.0,4.0,0,0,1.0,1,0,57.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.161966616364075,5.538573733806856
0,5.0,4.0,4.0,0,1,1.0,1,0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8739015978644615,5.544068044350276
0,5.0,2.5,2.5,1,3,3.0,1,0,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.584331224367531,5.544068044350276
0,5.0,3.0,3.0,0,2,1.0,0,0,43.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2068258760318495,4.698970004336019
0,5.0,20.0,20.0,0,0,1.0,0,0,41.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3.4992745818922173,5.721233370017278
0,3.0,10.0,4.0,0,1,1.0,1,0,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.800717078282385,5.342422680822207
0,5.0,2.5,2.5,0,1,1.0,1,0,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8998205024270964,5.544068044350276
0,5.0,2.5,2.5,0,4,2.0,1,0,44.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.45178643552429,5.34713478291002
0,5.0,2.5,2.5,0,2,2.0,1,0,32.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6273658565927325,5.544068044350276
0,3.0,2.5,2.5,0,0,1.0,1,0,53.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1344958558346736,5.243038048686294
0,5.0,4.0,4.0,1,4,1.0,1,0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.506505032404872,5.477121254719663
0,5.0,2.0,2.0,0,5,1.0,0,0,46.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4183012913197452,5.181843587944773
0,5.0,2.5,2.5,0,0,2.0,1,0,69.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.022840610876528,5.544068044350276
0,0.0,2.5,2.5,0,6,2.0,1,0,22.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.677606952720493,5.544068044350276
0,5.0,2.5,2.5,0,2,1.0,1,0,58.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5538830266438746,5.262688344301696
0,3.0,20.0,20.0,0,0,2.0,1,0,33.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.842609239610562,5.544068044350276
0,5.0,4.0,4.0,0,1,1.0,1,0,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.824776462475546,5.439332693830263
0,5.0,20.0,20.0,0,0,2.0,1,0,17.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8102325179950842,5.544068044350276
0,3.0,10.0,2.5,0,0,1.0,1,0,41.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0433622780211294,5.171141151028382
0,0.0,10.0,10.0,0,-1,1.0,1,0,38.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.449324093098727,5.217483944213907
0,3.0,10.0,10.0,0,1,1.0,1,0,17.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7611758131557314,5.431363764158987
0,5.0,6.0,2.0,0,1,2.0,1,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.303196057420489,4.615950051656401
0,5.0,2.5,2.5,0,0,2.0,0,0,47.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3.3380578754197563,5.705863712283919
0,0.0,10.0,10.0,1,-2,3.0,1,0,14.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.82020145948564,5.488409688903198
0,0.0,4.0,4.0,0,3,3.0,1,0,43.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.6848453616444123,5.544068044350276
0,3.0,2.5,2.5,1,4,2.0,1,0,33.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5728716022004803,5.477121254719663
0,0.0,10.0,10.0,0,6,2.0,1,0,26.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5622928644564746,5.544068044350276
0,3.0,4.0,4.0,0,0,1.0,1,0,34.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.126780577012009,5.237040791379191
0,5.0,2.5,2.5,0,5,1.0,1,0,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3541084391474008,5.164650215934297
0,0.0,20.0,20.0,0,1,2.0,1,0,17.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6848453616444123,5.544068044350276
0,0.0,10.0,10.0,0,-1,1.0,1,0,42.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.475380593143361,5.243038048686294
0,5.0,2.5,2.5,0,2,1.0,1,0,56.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.7075701760979363,5.544068044350276
0,3.0,4.0,4.0,1,4,2.0,1,0,50.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.5943925503754266,5.544068044350276
0,5.0,10.0,10.0,0,-2,1.0,0,0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2065560440990297,4.613841821876069
0,5.0,3.0,3.0,0,1,1.0,1,0,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.971739590887778,5.006466042249231
0,5.0,2.5,2.5,1,2,2.0,1,0,11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.640481436970422,5.544068044350276
0,5.0,2.5,2.5,0,1,2.0,1,0,17.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7701152947871015,5.544068044350276
0,5.0,2.5,2.5,0,3,3.0,1,0,16.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5490032620257876,5.49996186559619
